Subject,Type,x.5.1,y.5.1,x.5.4,y.5.4,x.5.5,y.5.5,x.5.3,y.5.3,x.5.2,y.5.2
86,Fall,0.097251668,0.037493741,0.023436136,0.038510021,0.022745492,0.037583804,57.94966154,8.41561588,0.116666667,0.183333333
92,Fall,0.161881866,0.134032801,0.038029411,0.026877863,0.030854994,0.026098354,157.3029979,109.6206679,0.216666667,0.133333333
92,Fall,0.242752824,0.101894478,0.033146629,0.034575135,0.032194246,0.035035827,356.3205573,62.9533144,0.166666667,0.166666667
92,Fall,0.280475693,0.104881905,0.03722402,0.031305615,0.03723,0.025424198,474.3088548,66.83986055,0.183333333,0.166666667
95,Fall,0.053659862,0.025847466,0.032023499,0.04161019,0.0317147,0.041907778,17.45222839,4.011394325,0.166666667,0.2
95,Fall,0.077896371,0.038870996,0.027064434,0.037922379,0.027336551,0.037870317,36.7146111,9.194374932,0.133333333,0.183333333
95,Fall,0.060817625,0.051503844,0.04139806,0.041981066,0.041630364,0.040070559,22.2827235,16.10914677,0.2,0.2
100,Fall,0.175432348,0.050646851,0.022507666,0.03063677,0.021729077,0.031405843,186.2153032,15.67902828,0.116666667,0.15
100,Fall,0.118442043,0.06112459,0.038433778,0.033277039,0.039225716,0.033583765,85.97294109,21.59636587,0.183333333,0.166666667
100,Fall,0.175838727,0.054837153,0.028624941,0.024954362,0.028326817,0.024804372,190.2636104,18.66099187,0.133333333,0.116666667
102,Fall,0.132129647,0.047974987,0.034521619,0.033781249,0.035229621,0.032217067,106.9709086,14.14618679,0.166666667,0.15
102,Fall,0.132047305,0.039438052,0.025053431,0.045561181,0.022199074,0.038875616,106.7557634,9.335763815,0.133333333,0.233333333
102,Fall,0.137123696,0.056036172,0.029620572,0.040506248,0.029479167,0.040184508,115.1703658,19.08693193,0.15,0.2
105,Fall,0.109638385,0.054374004,0.026341043,0.030839684,0.024662754,0.022906593,73.21591281,17.83321704,0.133333333,0.166666667
105,Fall,0.154537886,0.087434024,0.039289023,0.034039849,0.03939902,0.031560288,144.6689109,46.26672673,0.183333333,0.183333333
105,Fall,0.168487593,0.067127861,0.029445401,0.026316855,0.030133609,0.024031438,174.117839,27.84005308,0.15,0.133333333
108,Fall,0.11071633,0.054530987,0.030139094,0.042390824,0.029522887,0.03761009,73.75804842,17.9556688,0.166666667,0.216666667
108,Fall,0.133085184,0.096849733,0.027235939,0.041824987,0.026960757,0.041813047,107.5153561,56.39849085,0.15,0.2
108,Fall,0.129519393,0.044034694,0.023410585,0.038171104,0.023553314,0.039590255,102.6164805,11.81016866,0.116666667,0.183333333
110,Fall,0.14144095,0.121073113,0.03389326,0.043981695,0.034260187,0.043876695,121.315882,88.09136626,0.15,0.216666667
110,Fall,0.170519389,0.100250922,0.036891614,0.02988227,0.035183778,0.029882256,174.033675,61.85208085,0.183333333,0.133333333
110,Fall,0.189861516,0.173040403,0.037879711,0.030404384,0.037224859,0.030636276,219.6467662,182.9509293,0.183333333,0.15
113,Fall,0.241556858,0.076658885,0.023166632,0.048170945,0.023292779,0.046260686,361.4296024,35.35161245,0.116666667,0.25
113,Fall,0.158056166,0.097542668,0.028776527,0.029494306,0.025581962,0.026986246,149.9521577,57.71274951,0.166666667,0.15
